Кабель определение,Кабель определение,
Классификация кабелей,По назначению,Процент расспрастранения кабелей на рынке
Классификация кабелей,По материалу жилы,
Классификация кабелей,По материалу оболочки,
Классификация кабелей,По безопасности,
Классификация кабелей,По номинальному напряжению,
Классификация кабелей,По климатическому исполнению,
Классификация кабелей,По другим параметрам,
Совокупный мировой спрос на силовую кабельную продукцию,Объем,
Совокупный мировой спрос на силовую кабельную продукцию,Денежный эквивалент,
Распределение спроса по странам,Страна,"Млн тонн, % от общего числа"
Распределение спроса по странам,Россия,
Крупнейшие мировые производители,Компания,
Крупнейшие мировые производители,Страна,
Крупнейшие мировые производители,Процент рынка,
Российские производители силового кабеля,Общее  производство,
Российские производители силового кабеля,Компания,Название
Российские производители силового кабеля,Компания,Учредитель
Российские производители силового кабеля,Компания,Собственики
Российские производители силового кабеля,Компания,Численость
Российские производители силового кабеля,Компания,Город
Российские производители силового кабеля,Компания,Какими компаниями управляет
Российские производители силового кабеля,Компания,Доля рынка
Российские производители силового кабеля,Компания,Объемы производства
Российские производители силового кабеля,Компания,загрузка мощностей
Российские производители силового кабеля,Компания,Отстранен?
Российские производители силового кабеля,Динамика производства силового кабеля,Год
Российские производители силового кабеля,Динамика производства силового кабеля,Объем производства
Российские производители силового кабеля,Динамика производства силового кабеля,Причины изменения динамики производства\потребления
Российские производители силового кабеля,Особенности рынка,Конкурентность
Российские производители силового кабеля,Особенности рынка,"Некоторые особенности, предположения "
Баланс и отраслевая структура российского рынка силовых кабелей,Баланс спроса и предложения в России,Год
Баланс и отраслевая структура российского рынка силовых кабелей,Баланс спроса и предложения в России,Предложение
Баланс и отраслевая структура российского рынка силовых кабелей,Баланс спроса и предложения в России,Потребление
Баланс и отраслевая структура российского рынка силовых кабелей,"Экспорт и импорт России по странам (2 категории, куда экспортируют и откуда импортируют объеденены)",Страны
Баланс и отраслевая структура российского рынка силовых кабелей,"Экспорт и импорт России по странам (2 категории, куда экспортируют и откуда импортируют объеденены)",Внутренее предложения (тыс\т)
Баланс и отраслевая структура российского рынка силовых кабелей,"Экспорт и импорт России по странам (2 категории, куда экспортируют и откуда импортируют объеденены)",Экспорт\импорт (тыс\т)
Баланс и отраслевая структура российского рынка силовых кабелей,Отраслевая структура потребления,Отрасль
Баланс и отраслевая структура российского рынка силовых кабелей,Отраслевая структура потребления,Объемы потребления
Баланс и отраслевая структура российского рынка силовых кабелей,Отраслевая структура потребления,Потребление нефтяной отрасли
Структура и динамика закупок группы компаний Газпром нефть,Доля ГПН в отрасли по годам,
Структура и динамика закупок группы компаний Газпром нефть,Динамика закупки силового кабеля,год
Структура и динамика закупок группы компаний Газпром нефть,Динамика закупки силового кабеля,проноз закупок
Структура и динамика закупок группы компаний Газпром нефть,Динамика закупки силового кабеля,факт закупок
Структура и динамика закупок группы компаний Газпром нефть,"Структура потребления
силового кабеля
по Заказчикам",Подразделение газпрома 
Структура и динамика закупок группы компаний Газпром нефть,"Структура потребления
силового кабеля
по Заказчикам",Год
Структура и динамика закупок группы компаний Газпром нефть,"Структура потребления
силового кабеля
по Заказчикам",Тонн потреблено
Структура и динамика закупок группы компаний Газпром нефть,"Структура потребления
силового кабеля
по Заказчикам",Доля потребления
Структура и динамика закупок группы компаний Газпром нефть,поставщики газпрома,Крупнейшие
Структура и динамика закупок группы компаний Газпром нефть,поставщики газпрома,Другие
Структура и динамика закупок группы компаний Газпром нефть,Причины снижения закупок силового кабеля,
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть",Структура заявок Заказчиков по длинам силовых кабелей,Год
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть",Структура заявок Заказчиков по длинам силовых кабелей,Всего марок
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть",Структура заявок Заказчиков по длинам силовых кабелей,Процент марок с длиной <= 200
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть","Структура закупки по типам силовых кабелей
",Год
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть","Структура закупки по типам силовых кабелей
",Сумма закупок
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть","Структура закупки по типам силовых кабелей
",Тоннаж закупок
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть","Структура закупки по типам силовых кабелей
",Доля морозостойких кабелей
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Контрафакт,Определение
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Контрафакт,Основные проблемные места
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Контрафакт,Примеры нанесенного ушерба
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Контрафакт,Доля контрафакта в сегменте общепромышленного кабеля
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Контрафакт,Доля предприятий замеченых в производстве не по ГОСТУ
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть",Меры противодействия,
Цены на кабель,Котировки меди (LME),Год
Цены на кабель,Котировки меди (LME),Котировка (тыс.руб.\т.)
Цены на кабель,Котировски алюминия,Год
Цены на кабель,Котировски алюминия,Котировка (тыс.руб.\т.)
Цены на кабель,Доллар\рубль,Год
Цены на кабель,Доллар\рубль,Котировка
Цены на кабель,"Структура себестоимости
кабельной продукции
",С медной жилой
Цены на кабель,"Структура себестоимости
кабельной продукции
",С алюминивой жилой
Цены на кабель,"Структура себестоимости
кабельной продукции
",Со сплавом
Цены на кабель,Прогнозы,
Стратегия контрактования кабеля,"Кабели силовые
морозостойкие
с ЭПР-изоляцией",Ориетир цены
Стратегия контрактования кабеля,"Кабели силовые
морозостойкие
с ЭПР-изоляцией",Сколько тонн
Стратегия контрактования кабеля,"Кабели силовые
морозостойкие
с ЭПР-изоляцией",Общая длина
Стратегия контрактования кабеля,"Кабели
общепромышленные",Ориетир цены
Стратегия контрактования кабеля,"Кабели
общепромышленные",Сколько тонн
Стратегия контрактования кабеля,"Кабели
общепромышленные",Общая длина
Стратегия контрактования кабеля,Перечень аккредитованных поставщиков,Критерии потенциальных поставщиков
Стратегия контрактования кабеля,Перечень аккредитованных поставщиков,Контрагент
Стратегия контрактования кабеля,Перечень аккредитованных поставщиков,Объемы поставок
Стратегия контрактования кабеля,Перечень аккредитованных поставщиков,Количество незакрытых претензий
Стратегия контрактования кабеля,Перечень аккредитованных поставщиков,Своевременность поставок
Стратегия контрактования кабеля,Перечень не участвующих в конкурсном отборе,Контрагент
Стратегия контрактования кабеля,Перечень не участвующих в конкурсном отборе,Причина
Стратегия контрактования кабеля,Итоги,Ориетир цены по сравнению с прошлым годом