,org_activity,name,address,director,main_org,OGRN,INN,date
0,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Электрокабель""","607675, Нижегородская область, Кстовский район, село Безводное, (оао бмз)",Вшивцев Константин Николаевич,-,1025201991264,5250026064,1 сентября 2000 г.
1,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Сарансккабель»,"430001, Республика Мордовия, г. Саранск, Строительная ул., д.3",Абаев Рашид Рафикович,-,1047855154489,7810014283,2 декабря 2004 г.
2,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Энергокабель»,"142455, обл. Московская, г. Ногинск, Полевая ул., д. 10",Савенкова Валентина Григорьевна,-,1025003917179,5031043645,8 декабря 2000 г.
3,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Иркутсккабель»,"666033, Иркутская область, г. Шелехов, Индустриальная ул., д.1",Першина Екатерина Витальевна,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""УНКОМТЕХ""",1023802256015,3821000937,7 июня 1996 г.
4,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«НП «ПОДОЛЬСККАБЕЛЬ»,"142103, Московская область, город Подольск, Бронницкая улица, дом 11",Громов Михаил Николаевич,-,1025004706825,5036002480,13 октября 1992 г.
5,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«ЭЛЕКТРОКАБЕЛЬ»,"607675, Нижегородская область, Кстовский район, село Безводное, (оао бмз)",Вшивцев Константин Николаевич,-,1025201991264,5250026064,1 сентября 2000 г.
6,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Томсккабель""","634059, Томская область, г. Томск, ул. Смирнова, д.3",-,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТИЦИОННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",1127017015773,7017307579,24 мая 2012 г.
7,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Кабельный завод «ЭКСПЕРТ-КАБЕЛЬ»,"302209, Орловская область, Орловский район, сельское поселение Платоновское, Раздольная улица, дом 105, помещение 14а",Кутенев Сергей Николаевич,-,1147746316959,7743920794,24 марта 2014 г.
8,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Кабельный завод ""АЛЮР""","182115, Псковская область, город Великие Луки, улица Гоголя, дом 3 б",Бобров Алексей Петрович,-,1026000899100,6025013482,5 апреля 1996 г.
9,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Цветлит»,"430006, Республика Мордовия, город Саранск, Александровское шоссе, дом 22, кабинет 23",-,-,1191326002130,1327034176,27 марта 2019 г.
10,27.31 Производство волоконно-оптических кабелей,"""Белтелекабель""","140200, Московская область, Воскресенск город, улица Гиганта, дом 13",-,-,1205000089029,5005069238,6 октября 2020 г.
11,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Электрокабель ""Кольчугинский завод""","601785, Владимирская область, Кольчугинский р-н, г. Кольчугино, ул. К.Маркса, д.3",-,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЛДИНГ КАБЕЛЬНЫЙ АЛЬЯНС""",1023300711774,3306007697,28 июня 2002 г.
12,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Самарская кабельная компания""","443009, Самарская область, г. Самара, Физкультурная ул., д. 103, помещ. н6",Ключников Валерий Федорович,-,1026301512027,6318101450,28 июня 2002 г.
13,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Рыбинскэлектрокабель""","152914, Ярославская область, Рыбинский район, город Рыбинск, улица Толбухина, 33",-,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИСМИАН РУС""",1027601107600,7610048711,23 мая 2000 г.
14,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Кирскабель»,"612820, Кировская область, Верхнекамский р-н, г. Кирс, ул. Ленина, д.1",-,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""УНКОМТЕХ""",1064303005040,4305071483,28 декабря 2006 г.
15,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Кабельный завод ""Кавказкабель""","361041, Кабардино-Балкарская Республика, г. Прохладный, Кабельная ул., д.1",Кузнецов Игорь Валерьевич,-,1040700151887,0716003299,29 октября 2004 г.
16,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Завод ""Агрокабель""","174352, Новгородская область, Окуловский р-н, г. Окуловка, ул. Титова, д.11",-,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ФЛАГМАН""",1125302000548,5311007801,19 декабря 2012 г.
17,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«ПОДОЛЬСККАБЕЛЬ»,"142103, Московская область, город Подольск, Бронницкая улица, дом 11",Громов Михаил Николаевич,-,1025004706825,5036002480,13 октября 1992 г.
18,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Агрокабель»,"429140, Чувашская Республика - Чувашия, Комсомольский район, село Комсомольское, улица Мира, 11",Терентьева Ирина Александровна,-,1042132002241,2108006072,4 июня 2004 г.
19,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«ЭКСПЕРТ-КАБЕЛЬ»,"302209, Орловская область, Орловский район, сельское поселение Платоновское, Раздольная улица, дом 105, помещение 14а",Кутенев Сергей Николаевич,-,1147746316959,7743920794,24 марта 2014 г.
20,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""НП ""Подольсккабель""","142103, Московская область, город Подольск, Бронницкая улица, дом 11",Громов Михаил Николаевич,-,1025004706825,5036002480,13 октября 1992 г.
21,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«МОСКАБЕЛЬ»,"111024, город Москва, 2-Я Кабельная ул., д.2 стр.2",Гладких Сергей Анатольевич,-,1117746242811,7722743350,31 марта 2011 г.
22,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Рыбинский кабельный завод""","152916, Ярославская область, Рыбинский р-н, г. Рыбинск, пр-кт 50 лет Октября, д.60, кв.316",Хренов Юрий Геннадьевич,-,1117610006480,7610093062,17 августа 2011 г.
23,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Сарансккабель""","430001, Республика Мордовия, г. Саранск, Строительная ул., д.3",Абаев Рашид Рафикович,-,1047855154489,7810014283,2 декабря 2004 г.
24,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""ЭЛЕКТРОКАБЕЛЬ""","607675, Нижегородская область, Кстовский район, село Безводное, (оао бмз)",Вшивцев Константин Николаевич,-,1025201991264,5250026064,1 сентября 2000 г.
25,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Кавказкабель»,"361041, Кабардино-Балкарская Республика, г. Прохладный, Кабельная ул., д.1",Кузнецов Игорь Валерьевич,-,1040700151887,0716003299,29 октября 2004 г.
26,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«СПЕЦКАБЕЛЬ»,"107497, город Москва, улица Бирюсинка, дом 6 корпус 1-5, пом XVI ком 15",Лобанов Андрей Васильевич,-,1027739312281,7701165130,22 июля 1997 г.
27,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"«Завод ""Чувашкабель»","428037, Чувашская Республика - Чувашия, г. Чебоксары, Кабельный пр-д, д. 7",Науменко Олеся Викторовна,-,1022100967635,2127009135,2 декабря 1992 г.
28,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Кабэкс»,"623281, Свердловская область, г Ревда, Привокзальная ул, влд. 2а, офис 4",Кириллов Юрий Константинович,-,1025901890090,5940200262,20 июля 2000 г.
29,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Чувашкабель»,"428037, Чувашская Республика - Чувашия, г. Чебоксары, Кабельный пр-д, д. 7",Науменко Олеся Викторовна,-,1022100967635,2127009135,2 декабря 1992 г.
30,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Завод ""Энергокабель""","142455, обл. Московская, г. Ногинск, Полевая ул., д. 10",Кисин Дмитрий Викторович,-,1025003917179,5031043645,8 декабря 2000 г.
31,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Спецкабель»,"107497, город Москва, улица Бирюсинка, дом 6 корпус 1-5, пом XVI ком 15",Лобанов Андрей Васильевич,-,1027739312281,7701165130,22 июля 1997 г.
32,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«РЫБИНСККАБЕЛЬ»,"152916, Ярославская область, Рыбинский р-н, г. Рыбинск, пр-кт 50 лет Октября, д.60, кв.316",Хренов Юрий Геннадьевич,-,1117610006480,7610093062,17 августа 2011 г.
33,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Дмитров-Кабель""","141800, Московская область, Дмитров город, Внуковская улица, 40",Синанян Артур Рубенович,-,1035001616198,5007043002,5 сентября 2003 г.
34,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Оптикэнерго»,"430001, Республика Мордовия, город Саранск, Строительная улица, дом 3г строение 2",Боксимер Михаил Эвирович,-,1061327008478,1327002022,14 апреля 2006 г.
